2021-08-13 18:33:24,157 INFO  [utility.AppUtil]-[89] AppUtil :: getInternetConnectionType :: Start
2021-08-13 18:33:24,159 INFO  [utility.AppUtil]-[89] AppUtil :: getInternetConnectionType :: info = [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: , failover: false, available: true, roaming: false]
2021-08-13 18:33:24,159 INFO  [utility.AppUtil]-[89] AppUtil :: getInternetConnectionType :: isConnected = true
2021-08-13 18:33:24,159 INFO  [utility.AppUtil]-[89] AppUtil :: getInternetConnectionType :: Type = WIFI
2021-08-13 18:33:26,078 INFO  [utility.AppUtil]-[89] AppUtil :: getInternetConnectionType :: Start
2021-08-13 18:33:26,079 INFO  [utility.AppUtil]-[89] AppUtil :: getInternetConnectionType :: info = [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: , failover: false, available: true, roaming: false]
2021-08-13 18:33:26,080 INFO  [utility.AppUtil]-[89] AppUtil :: getInternetConnectionType :: isConnected = true
2021-08-13 18:33:26,080 INFO  [utility.AppUtil]-[89] AppUtil :: getInternetConnectionType :: Type = WIFI
2021-08-13 18:33:35,525 INFO  [utility.AppUtil]-[89] sGetUserInfo
2021-08-13 18:33:35,526 INFO  [utility.AppUtil]-[89] sGetUserInfo
2021-08-13 18:33:35,526 INFO  [utility.AppUtil]-[89] GetUserInfo_API  : {Email=139441721704917, Password=0OinKZda3Bqx/+qRf313tmFtzkI=, TimeStamp=1628894015525, MachineGUID=, MobileNo=, IsLogin=1, IsSigninRequest=true}
2021-08-13 18:33:35,795 INFO  [utility.DataStorage]-[89] DataStorage::sReadPendingRequestsHash:: Exception error:libcore.io.IoBridge.open(IoBridge.java:492)
2021-08-13 18:33:35,796 INFO  [utility.DataStorage]-[89] DataStorage::sReadPendingRequestsHash:: Exception error:java.io.FileNotFoundException: /data/user/0/com.genie9.gcloudbackup/files/MachinesList: open failed: ENOENT (No such file or directory)
2021-08-13 18:33:35,811 INFO  [utility.DataStorage]-[89] DataStorage::sReadPendingRequestsHash:: Exception error:libcore.io.IoBridge.open(IoBridge.java:492)
2021-08-13 18:33:35,812 INFO  [utility.DataStorage]-[89] DataStorage::sReadPendingRequestsHash:: Exception error:java.io.FileNotFoundException: /data/user/0/com.genie9.gcloudbackup/files/MachinesList: open failed: ENOENT (No such file or directory)
2021-08-13 18:33:35,812 INFO  [utility.AppUtil]-[89] GetUserInfo onFailedResponse  : Invalid socialId 2006
2021-08-13 18:33:35,832 INFO  [utility.AppUtil]-[89] EMAILLOG - LOGIN FRAGMENT - Settings User Email with en empty string from handleUIError
2021-08-13 19:27:08,467 INFO  [purchase.GooglePurchaseHandler]-[89] PurchaseCheck :: QueryItemsDetails:: Start
2021-08-13 19:27:08,481 INFO  [purchase.GooglePurchaseHandler]-[89] PurchaseCheck :: Start Setup
2021-08-13 19:27:08,508 INFO  [purchase.GooglePurchaseHandler]-[89] IabHelper :: Binding Service.
2021-08-13 19:27:08,513 INFO  [purchase.GooglePurchaseHandler]-[89] IabHelper :: startSetup:: Billing service connected.
2021-08-13 19:27:08,515 INFO  [purchase.GooglePurchaseHandler]-[89] GooglePurchaseHandler :: PurchaseCheck :: CheckBillingSupported, CheckIterations =1
2021-08-13 19:27:08,529 INFO  [purchase.GooglePurchaseHandler]-[89] GooglePurchaseHandler :: PurchaseCheck :: Setup Finished successfully, subscriptionsSupported = true
2021-08-13 19:27:08,618 INFO  [purchase.GooglePurchaseHandler]-[89] IabHelper :: querySkuDetails:: Getting items Details, item type: inapp
2021-08-13 19:27:08,623 INFO  [purchase.GooglePurchaseHandler]-[89] IabHelper :: querySkuDetails:: items List Count = 2
2021-08-13 19:27:08,886 INFO  [purchase.GooglePurchaseHandler]-[89] IabHelper :: querySkuDetails:: skuDetails does not contain detail_list, response = 2
2021-08-13 19:27:08,886 INFO  [purchase.GooglePurchaseHandler]-[89] PurchaseCheck :: onQueryDetailsFinished ::, Result =Error refreshing inventory (querying prices of items). (response: 2:Unknown)
